,Model,Mileage in mi,Dealer Name,Rating,Rating Count,Price in $,Brand Name,Year
337,"['Wrangler', 'Unlimited', 'Sport']","21,967 mi.",Driver's Village,3.2,157,"$39,900", Jeep,2021
338,"['Wagoneer', 'Series', 'II']","7,489 mi.",Russ Darrow Chrysler Dodge Jeep RAM Madison (High Crossing),4.8,818,"$64,993", Jeep,2022
339,"['Renegade', 'Latitude']","22,609 mi.",I-10 Chrysler Dodge Jeep RAM,4.6,632,"$25,484", Jeep,2021
340,"['Grand', 'Cherokee', 'Limited']","3,228 mi.",Lithia Chrysler Jeep Dodge RAM of Klamath Falls,4.8,782,"$46,937", Jeep,2022
341,"['Grand', 'Wagoneer', 'Series', 'II']","2,252 mi.",Victory Chrysler Dodge Jeep RAM,4.0,50,"$95,000", Jeep,2022
342,"['Renegade', 'Latitude']","7,296 mi.",Lithia Chrysler Jeep Dodge of Great Falls,4.6,592,"$25,265", Jeep,2019
343,"['Gladiator', 'Sport']","8,374 mi.",Ken Ganley Chrysler Dodge Jeep Ram Fiat Painesville,4.8,1406,"$49,000", Jeep,2022
344,"['Grand', 'Cherokee', 'L', 'Overland']","16,420 mi.",Woodhouse Chrysler Jeep Dodge RAM Sioux City,3.9,33,"$59,880", Jeep,2022
345,"['Wrangler', 'Unlimited', 'Rubicon']","15,023 mi.",Twin Rivers Chrysler Jeep Dodge RAM,5.0,3,"$58,995", Jeep,2021
346,"['Gladiator', 'Rubicon']","4,469 mi.",Chilson-Wilcox,3.8,23,"$53,995", Jeep,2022
347,"['Grand', 'Cherokee', 'Laredo', 'E']","26,727 mi.",David Stanley Chrysler Jeep Dodge RAM,4.5,2745,"$26,450", Jeep,2021
348,"['Wagoneer', 'Series', 'II']","10,554 mi.",Roberson Motors,4.9,1151,"$70,998", Jeep,2022
349,"['Wagoneer', 'Series', 'I']","3,715 mi.",Franklin Chrysler Dodge Jeep Ram,4.2,557,"$67,901", Jeep,2022
350,"['Wagoneer', 'Series', 'III']","1,519 mi.",Collierville Chrysler Dodge Jeep Ram,4.1,300,"$75,900", Jeep,2022
351,"['Grand', 'Cherokee', '80th', 'Anniversary']","3,989 mi.",Cullman Chrysler Dodge Jeep RAM,4.6,126,"$40,987", Jeep,2021
352,"['Grand', 'Cherokee', 'Limited']","10,937 mi.",Marino Chrysler Jeep Dodge RAM,4.9,4049,"$50,794", Jeep,2022
353,"['Wagoneer', 'Series', 'III']","5,660 mi.",Grogan's Towne Chrysler Jeep Dodge RAM,4.7,487,"$74,784", Jeep,2022
354,"['Renegade', 'Trailhawk']","29,390 mi.",Kearny Mesa Chrysler Dodge Jeep RAM,4.4,542,"$27,715", Jeep,2020
355,"['Grand', 'Wagoneer', 'Series', 'II']","8,247 mi.",Platinum Chrysler Dodge Ram Jeep,4.5,544,"$98,991", Jeep,2022
356,"['Wagoneer', 'Series', 'III']","5,653 mi.",Best Chrysler Dodge Jeep Ram,4.9,880,"$77,488", Jeep,2022
357,"['Wrangler', 'Unlimited', 'Sport']","21,967 mi.",Driver's Village,3.2,157,"$39,900", Jeep,2021
358,"['Wrangler', 'Unlimited', '4xe', 'Sahara']","14,063 mi.",Lithia Chrysler Jeep of Reno,4.8,1239,"$56,980", Jeep,2021
359,"['Wagoneer', 'Series', 'II']","7,489 mi.",Russ Darrow Chrysler Dodge Jeep RAM Madison (High Crossing),4.8,818,"$64,993", Jeep,2022
360,"['Renegade', 'Latitude']","22,609 mi.",I-10 Chrysler Dodge Jeep RAM,4.6,632,"$25,484", Jeep,2021
361,"['Grand', 'Cherokee', 'Limited']","3,228 mi.",Lithia Chrysler Jeep Dodge RAM of Klamath Falls,4.8,782,"$46,937", Jeep,2022
362,"['Grand', 'Wagoneer', 'Series', 'II']","2,252 mi.",Victory Chrysler Dodge Jeep RAM,4.0,50,"$95,000", Jeep,2022
363,"['Renegade', 'Latitude']","7,296 mi.",Lithia Chrysler Jeep Dodge of Great Falls,4.6,592,"$25,265", Jeep,2019
364,"['Gladiator', 'Sport']","8,374 mi.",Ken Ganley Chrysler Dodge Jeep Ram Fiat Painesville,4.8,1406,"$49,000", Jeep,2022
365,"['Grand', 'Cherokee', 'L', 'Overland']","16,420 mi.",Woodhouse Chrysler Jeep Dodge RAM Sioux City,3.9,33,"$59,880", Jeep,2022
366,"['Wrangler', 'Unlimited', 'Rubicon']","15,023 mi.",Twin Rivers Chrysler Jeep Dodge RAM,5.0,3,"$58,995", Jeep,2021
367,"['Gladiator', 'Rubicon']","4,469 mi.",Chilson-Wilcox,3.8,23,"$53,995", Jeep,2022
368,"['Grand', 'Cherokee', 'Laredo', 'E']","26,727 mi.",David Stanley Chrysler Jeep Dodge RAM,4.5,2745,"$26,450", Jeep,2021
369,"['Wagoneer', 'Series', 'II']","10,554 mi.",Roberson Motors,4.9,1151,"$70,998", Jeep,2022
370,"['Wagoneer', 'Series', 'I']","3,715 mi.",Franklin Chrysler Dodge Jeep Ram,4.2,557,"$67,901", Jeep,2022
371,"['Wagoneer', 'Series', 'III']","1,519 mi.",Collierville Chrysler Dodge Jeep Ram,4.1,300,"$75,900", Jeep,2022
372,"['Grand', 'Cherokee', '80th', 'Anniversary']","3,989 mi.",Cullman Chrysler Dodge Jeep RAM,4.6,126,"$40,987", Jeep,2021
373,"['Grand', 'Cherokee', 'L', 'Overland']","3,738 mi.",Marino Chrysler Jeep Dodge RAM,4.9,4049,"$61,994", Jeep,2022
374,"['Grand', 'Wagoneer', 'Series', 'II']","8,247 mi.",Platinum Chrysler Dodge Ram Jeep,4.5,544,"$98,991", Jeep,2022
375,"['Wagoneer', 'Series', 'III']","5,660 mi.",Grogan's Towne Chrysler Jeep Dodge RAM,4.7,487,"$74,784", Jeep,2022
376,"['Renegade', 'Trailhawk']","29,390 mi.",Kearny Mesa Chrysler Dodge Jeep RAM,4.4,542,"$27,715", Jeep,2020
377,"['Wagoneer', 'Series', 'III']","5,653 mi.",Best Chrysler Dodge Jeep Ram,4.9,880,"$77,488", Jeep,2022
378,"['Wrangler', 'Unlimited', '4xe', 'Sahara']","14,063 mi.",Lithia Chrysler Jeep of Reno,4.8,1239,"$56,980", Jeep,2021
379,"['Wrangler', 'Unlimited', 'Sport']","21,967 mi.",Driver's Village,3.2,157,"$39,900", Jeep,2021
380,"['Wagoneer', 'Series', 'II']","7,489 mi.",Russ Darrow Chrysler Dodge Jeep RAM Madison (High Crossing),4.8,818,"$64,993", Jeep,2022
381,"['Renegade', 'Latitude']","22,609 mi.",I-10 Chrysler Dodge Jeep RAM,4.6,632,"$25,484", Jeep,2021
382,"['Grand', 'Cherokee', 'Limited']","3,228 mi.",Lithia Chrysler Jeep Dodge RAM of Klamath Falls,4.8,782,"$46,937", Jeep,2022
383,"['Grand', 'Wagoneer', 'Series', 'II']","2,252 mi.",Victory Chrysler Dodge Jeep RAM,4.0,50,"$95,000", Jeep,2022
384,"['Renegade', 'Latitude']","7,296 mi.",Lithia Chrysler Jeep Dodge of Great Falls,4.6,592,"$25,265", Jeep,2019
385,"['Gladiator', 'Sport']","8,374 mi.",Ken Ganley Chrysler Dodge Jeep Ram Fiat Painesville,4.8,1406,"$49,000", Jeep,2022
386,"['Grand', 'Cherokee', 'L', 'Overland']","16,420 mi.",Woodhouse Chrysler Jeep Dodge RAM Sioux City,3.9,33,"$59,880", Jeep,2022
387,"['Wrangler', 'Unlimited', 'Rubicon']","15,023 mi.",Twin Rivers Chrysler Jeep Dodge RAM,5.0,3,"$58,995", Jeep,2021
388,"['Gladiator', 'Rubicon']","4,469 mi.",Chilson-Wilcox,3.8,23,"$53,995", Jeep,2022
389,"['Grand', 'Cherokee', 'Laredo', 'E']","26,727 mi.",David Stanley Chrysler Jeep Dodge RAM,4.5,2745,"$26,450", Jeep,2021
390,"['Wagoneer', 'Series', 'II']","10,554 mi.",Roberson Motors,4.9,1151,"$70,998", Jeep,2022
391,"['Wagoneer', 'Series', 'I']","3,715 mi.",Franklin Chrysler Dodge Jeep Ram,4.2,557,"$67,901", Jeep,2022
392,"['Wagoneer', 'Series', 'III']","1,519 mi.",Collierville Chrysler Dodge Jeep Ram,4.1,300,"$75,900", Jeep,2022
393,"['Grand', 'Cherokee', '80th', 'Anniversary']","3,989 mi.",Cullman Chrysler Dodge Jeep RAM,4.6,126,"$40,987", Jeep,2021
394,"['Grand', 'Cherokee', 'Limited']","10,937 mi.",Marino Chrysler Jeep Dodge RAM,4.9,4049,"$50,794", Jeep,2022
395,"['Grand', 'Wagoneer', 'Series', 'II']","8,247 mi.",Platinum Chrysler Dodge Ram Jeep,4.5,544,"$98,991", Jeep,2022
396,"['Renegade', 'Trailhawk']","29,390 mi.",Kearny Mesa Chrysler Dodge Jeep RAM,4.4,542,"$27,715", Jeep,2020
397,"['Wagoneer', 'Series', 'III']","5,660 mi.",Grogan's Towne Chrysler Jeep Dodge RAM,4.7,487,"$74,784", Jeep,2022
398,"['Wagoneer', 'Series', 'III']","5,653 mi.",Best Chrysler Dodge Jeep Ram,4.9,880,"$77,488", Jeep,2022
399,"['Wrangler', 'Unlimited', '4xe', 'Sahara']","14,063 mi.",Lithia Chrysler Jeep of Reno,4.8,1239,"$56,980", Jeep,2021
400,"['Wrangler', 'Unlimited', 'Sport']","21,967 mi.",Driver's Village,3.2,157,"$39,900", Jeep,2021
401,"['Wagoneer', 'Series', 'II']","7,489 mi.",Russ Darrow Chrysler Dodge Jeep RAM Madison (High Crossing),4.8,818,"$64,993", Jeep,2022
402,"['Renegade', 'Latitude']","22,609 mi.",I-10 Chrysler Dodge Jeep RAM,4.6,632,"$25,484", Jeep,2021
403,"['Grand', 'Cherokee', 'Limited']","3,228 mi.",Lithia Chrysler Jeep Dodge RAM of Klamath Falls,4.8,782,"$46,937", Jeep,2022
404,"['Grand', 'Wagoneer', 'Series', 'II']","2,252 mi.",Victory Chrysler Dodge Jeep RAM,4.0,50,"$95,000", Jeep,2022
405,"['Renegade', 'Latitude']","7,296 mi.",Lithia Chrysler Jeep Dodge of Great Falls,4.6,592,"$25,265", Jeep,2019
406,"['Gladiator', 'Sport']","8,374 mi.",Ken Ganley Chrysler Dodge Jeep Ram Fiat Painesville,4.8,1406,"$49,000", Jeep,2022
407,"['Grand', 'Cherokee', 'L', 'Overland']","16,420 mi.",Woodhouse Chrysler Jeep Dodge RAM Sioux City,3.9,33,"$59,880", Jeep,2022
408,"['Wrangler', 'Unlimited', 'Rubicon']","15,023 mi.",Twin Rivers Chrysler Jeep Dodge RAM,5.0,3,"$58,995", Jeep,2021
409,"['Gladiator', 'Rubicon']","4,469 mi.",Chilson-Wilcox,3.8,23,"$53,995", Jeep,2022
410,"['Grand', 'Cherokee', 'Laredo', 'E']","26,727 mi.",David Stanley Chrysler Jeep Dodge RAM,4.5,2745,"$26,450", Jeep,2021
411,"['Wagoneer', 'Series', 'II']","10,554 mi.",Roberson Motors,4.9,1151,"$70,998", Jeep,2022
412,"['Wagoneer', 'Series', 'I']","3,715 mi.",Franklin Chrysler Dodge Jeep Ram,4.2,557,"$67,901", Jeep,2022
413,"['Wagoneer', 'Series', 'III']","1,519 mi.",Collierville Chrysler Dodge Jeep Ram,4.1,300,"$75,900", Jeep,2022
414,"['Grand', 'Cherokee', '80th', 'Anniversary']","3,989 mi.",Cullman Chrysler Dodge Jeep RAM,4.6,126,"$40,987", Jeep,2021
415,"['AMG', 'GLB', '35', 'Base']","6,876 mi.",Sears Imported Autos,4.9,2007,"$54,899", Mercedes,2021
416,"['GLS', '450', 'Base', '4MATIC']","27,015 mi.",Mercedes-Benz of Fresno,4.8,501,"$63,977", Mercedes,2020
417,"['GLE', '350', 'Base', '4MATIC']","41,120 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$34,563", Mercedes,2018
418,"['GLC', '350e', 'Base', '4MATIC']","29,759 mi.",Mercedes-Benz of Ft. Pierce,4.7,236,"$33,995", Mercedes,2019
419,"['Mercedes-Benz', 'CLS-Class', 'CLS', '55']","34,049 mi.",Mercedes-Benz of Austin,4.8,1283,"$29,999", Mercedes,2014
420,"['GLS', '450', 'Base', '4MATIC']","42,850 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$44,379", Mercedes,2018
421,"['AMG', 'S', '63', 'Base', '4MATIC']","23,177 mi.",Mercedes-Benz of Fayetteville,4.8,1162,"$91,000", Mercedes,2017
422,"['GLS', '450', '4MATIC']","4,256 mi.",Mercedes-Benz Of Tacoma,4.4,3078,"$89,989", Mercedes,2022
423,"['AMG', 'E', '43', 'Base', '4MATIC']","21,870 mi.",Mercedes-Benz of Stevens Creek,4.7,1786,"$52,395", Mercedes,2018
424,"['E-Class', 'E', '350', '4MATIC']","16,488 mi.",Volkswagen of Quad Cities,4.6,169,"$53,989", Mercedes,2021
425,"['AMG', 'GT', 'Base']","3,461 mi.",Mercedes-Benz of Augusta,4.7,244,"$118,991", Mercedes,2020
426,"['G-Class', 'G', '550', '4MATIC']","35,488 mi.",CAG - Mercedes-Benz of San Juan,4.8,403,"$155,633", Mercedes,2019
427,"['GLE', '350', 'Base', '4MATIC']","26,969 mi.",Mercedes-Benz of Rochester,4.6,130,"$54,376", Mercedes,2020
428,"['A-Class', 'A', '220', '4MATIC']","13,083 mi.",Mercedes-Benz of Centerville,4.7,35,"$36,599", Mercedes,2021
429,"['AMG', 'E', '53', 'Base', '4MATIC']","28,369 mi.",Isringhausen Imports,4.9,813,"$64,900", Mercedes,2019
430,"['Maybach', 'S', '580', '4MATIC']","4,286 mi.",Mercedes-Benz of Houston North,4.5,1455,"$224,922", Mercedes,2021
431,"['GLE', '350', 'Base', '4MATIC']","33,912 mi.",Husker Auto Group,3.6,21,"$47,998", Mercedes,2020
432,"['CLA', '250', 'Base']","18,110 mi.",Mercedes-Benz of Carlsbad,4.8,418,"$39,995", Mercedes,2021
433,"['CLS', '550', 'Base', '4MATIC']","45,856 mi.",Baker Motor Company of Charleston,3.9,204,"$46,988", Mercedes,2017
434,"['GLS', '450', 'Base', '4MATIC']","20,310 mi.",Mercedes-Benz of Milwaukee North,4.7,307,"$71,852", Mercedes,2020
435,"['AMG', 'CLS', '53', 'Base', '4MATIC']","33,895 mi.",Mercedes-Benz of Boerne,4.8,435,"$81,491", Mercedes,2020
436,"['GLA', '250', 'Base', '4MATIC']","3,335 mi.",Sears Imported Autos,4.9,2007,"$33,971", Mercedes,2018
437,"['GLS', '450', 'Base', '4MATIC']","27,015 mi.",Mercedes-Benz of Fresno,4.8,501,"$63,977", Mercedes,2020
438,"['GLE', '350', 'Base', '4MATIC']","41,120 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$34,563", Mercedes,2018
439,"['GLC', '350e', 'Base', '4MATIC']","29,759 mi.",Mercedes-Benz of Ft. Pierce,4.7,236,"$33,995", Mercedes,2019
440,"['Mercedes-Benz', 'CLS-Class', 'CLS', '55']","34,049 mi.",Mercedes-Benz of Austin,4.8,1283,"$29,999", Mercedes,2014
441,"['GLS', '450', 'Base', '4MATIC']","42,850 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$44,379", Mercedes,2018
442,"['AMG', 'S', '63', 'Base', '4MATIC']","23,177 mi.",Mercedes-Benz of Fayetteville,4.8,1162,"$91,000", Mercedes,2017
443,"['GLS', '450', '4MATIC']","4,256 mi.",Mercedes-Benz Of Tacoma,4.4,3078,"$89,989", Mercedes,2022
444,"['AMG', 'E', '43', 'Base', '4MATIC']","21,870 mi.",Mercedes-Benz of Stevens Creek,4.7,1786,"$52,395", Mercedes,2018
445,"['GLE', '350', 'Base', '4MATIC']","26,969 mi.",Mercedes-Benz of Rochester,4.6,130,"$54,376", Mercedes,2020
446,"['G-Class', 'G', '550', '4MATIC']","35,488 mi.",CAG - Mercedes-Benz of San Juan,4.8,403,"$155,633", Mercedes,2019
447,"['AMG', 'GT', 'Base']","3,461 mi.",Mercedes-Benz of Augusta,4.7,244,"$118,991", Mercedes,2020
448,"['E-Class', 'E', '350', '4MATIC']","16,488 mi.",Volkswagen of Quad Cities,4.6,169,"$53,989", Mercedes,2021
449,"['A-Class', 'A', '220', '4MATIC']","13,083 mi.",Mercedes-Benz of Centerville,4.7,35,"$36,599", Mercedes,2021
450,"['AMG', 'E', '53', 'Base', '4MATIC']","28,369 mi.",Isringhausen Imports,4.9,813,"$64,900", Mercedes,2019
451,"['Maybach', 'S', '580', '4MATIC']","4,286 mi.",Mercedes-Benz of Houston North,4.5,1455,"$224,922", Mercedes,2021
452,"['GLE', '350', 'Base', '4MATIC']","33,912 mi.",Husker Auto Group,3.6,21,"$47,998", Mercedes,2020
453,"['CLA', '250', 'Base']","18,110 mi.",Mercedes-Benz of Carlsbad,4.8,418,"$39,995", Mercedes,2021
454,"['CLS', '550', 'Base', '4MATIC']","45,856 mi.",Baker Motor Company of Charleston,3.9,204,"$46,988", Mercedes,2017
455,"['GLS', '450', 'Base', '4MATIC']","20,310 mi.",Mercedes-Benz of Milwaukee North,4.7,307,"$71,852", Mercedes,2020
456,"['AMG', 'CLS', '53', 'Base', '4MATIC']","33,895 mi.",Mercedes-Benz of Boerne,4.8,435,"$81,491", Mercedes,2020
457,"['S-Class', 'S', '580', '4MATIC']","5,520 mi.",Walter's Mercedes-Benz of Riverside,4.9,6303,"$109,998", Mercedes,2021
458,"['GLS', '450', 'Base', '4MATIC']","27,015 mi.",Mercedes-Benz of Fresno,4.8,501,"$63,977", Mercedes,2020
459,"['GLE', '350', 'Base', '4MATIC']","41,120 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$34,563", Mercedes,2018
460,"['GLC', '350e', 'Base', '4MATIC']","29,759 mi.",Mercedes-Benz of Ft. Pierce,4.7,236,"$33,995", Mercedes,2019
461,"['Mercedes-Benz', 'CLS-Class', 'CLS', '55']","34,049 mi.",Mercedes-Benz of Austin,4.8,1283,"$29,999", Mercedes,2014
462,"['GLS', '450', 'Base', '4MATIC']","42,850 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$44,379", Mercedes,2018
463,"['AMG', 'S', '63', 'Base', '4MATIC']","23,177 mi.",Mercedes-Benz of Fayetteville,4.8,1162,"$91,000", Mercedes,2017
464,"['G-Class', 'G', '550', '4MATIC']","35,488 mi.",CAG - Mercedes-Benz of San Juan,4.8,403,"$155,633", Mercedes,2019
465,"['GLS', '450', '4MATIC']","4,256 mi.",Mercedes-Benz Of Tacoma,4.4,3078,"$89,989", Mercedes,2022
466,"['AMG', 'E', '43', 'Base', '4MATIC']","21,870 mi.",Mercedes-Benz of Stevens Creek,4.7,1786,"$52,395", Mercedes,2018
467,"['GLE', '350', 'Base', '4MATIC']","26,969 mi.",Mercedes-Benz of Rochester,4.6,130,"$54,376", Mercedes,2020
468,"['AMG', 'GT', 'Base']","3,461 mi.",Mercedes-Benz of Augusta,4.7,244,"$118,991", Mercedes,2020
469,"['E-Class', 'E', '350', '4MATIC']","16,488 mi.",Volkswagen of Quad Cities,4.6,169,"$53,989", Mercedes,2021
470,"['A-Class', 'A', '220', '4MATIC']","13,083 mi.",Mercedes-Benz of Centerville,4.7,35,"$36,599", Mercedes,2021
471,"['AMG', 'E', '53', 'Base', '4MATIC']","28,369 mi.",Isringhausen Imports,4.9,813,"$64,900", Mercedes,2019
472,"['Maybach', 'S', '580', '4MATIC']","4,286 mi.",Mercedes-Benz of Houston North,4.5,1455,"$224,922", Mercedes,2021
473,"['GLE', '350', 'Base', '4MATIC']","33,912 mi.",Husker Auto Group,3.6,21,"$47,998", Mercedes,2020
474,"['CLA', '250', 'Base']","18,110 mi.",Mercedes-Benz of Carlsbad,4.8,418,"$39,995", Mercedes,2021
475,"['CLS', '550', 'Base', '4MATIC']","45,856 mi.",Baker Motor Company of Charleston,3.9,204,"$46,988", Mercedes,2017
476,"['GLS', '450', 'Base', '4MATIC']","20,310 mi.",Mercedes-Benz of Milwaukee North,4.7,307,"$71,852", Mercedes,2020
477,"['AMG', 'CLS', '53', 'Base', '4MATIC']","33,895 mi.",Mercedes-Benz of Boerne,4.8,435,"$81,491", Mercedes,2020
478,"['GLA', '250', 'Base', '4MATIC']","3,335 mi.",Sears Imported Autos,4.9,2007,"$33,971", Mercedes,2018
479,"['GLS', '450', 'Base', '4MATIC']","27,015 mi.",Mercedes-Benz of Fresno,4.8,501,"$63,977", Mercedes,2020
480,"['GLE', '350', 'Base', '4MATIC']","41,120 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$34,563", Mercedes,2018
481,"['GLC', '350e', 'Base', '4MATIC']","29,759 mi.",Mercedes-Benz of Ft. Pierce,4.7,236,"$33,995", Mercedes,2019
482,"['Mercedes-Benz', 'CLS-Class', 'CLS', '55']","34,049 mi.",Mercedes-Benz of Austin,4.8,1283,"$29,999", Mercedes,2014
483,"['GLS', '450', 'Base', '4MATIC']","42,850 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$44,379", Mercedes,2018
484,"['AMG', 'S', '63', 'Base', '4MATIC']","23,177 mi.",Mercedes-Benz of Fayetteville,4.8,1162,"$91,000", Mercedes,2017
485,"['GLS', '450', '4MATIC']","4,256 mi.",Mercedes-Benz Of Tacoma,4.4,3078,"$89,989", Mercedes,2022
486,"['AMG', 'E', '43', 'Base', '4MATIC']","21,870 mi.",Mercedes-Benz of Stevens Creek,4.7,1786,"$52,395", Mercedes,2018
487,"['GLE', '350', 'Base', '4MATIC']","26,969 mi.",Mercedes-Benz of Rochester,4.6,130,"$54,376", Mercedes,2020
